ID;beni;kanna;kei;keta;kibana;kinoko;kizu;mikan;minku;mizu;muku;mushi;neji;okapi;okura;omoto;serori;shide;shika;shiso;toga;tsuwa;uso;usu;yamu;yashi;yone;yuna;betei;binega;bon;botan;hado;haku;hiba;hirame;komatsu;kote;mekki;mochi;noko;pan;pichi;shida;shiira;tabu;takana;tsutsuji;yomogi;yotsuba;yumin;yuu
binega;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011615628;0;0;0;0;0;0;0.008988764;0;0;0.016216216;0;0.056994819;0;0;0.095499451;0;0;0;0;0.023785927;0;0.001081081;0.002063983;0;0;0;0;0;0;0;0.001034126;0;0.013429752;0;0
bon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.264994547;0;0;0.005668934;0;0;0;0;0;0.038865546;0;0.099667774;0;0;0;0;0;0;0.00436205;0;0.012684989;0;0;0;0;0;0;0;0;0;0;0
botan;0;0;0;0;0;0.014084507;0;0;0;0;0;0;0;0;0;0.004608295;0;0;0;0;0.27283105;0;0;0;0;0;0;0;0;0.059275521;0.127353267;0;0;0;0;0.003275109;0.007291667;0;0.003424658;0;0;0.001141553;0.01592719;0;0;0;0.001131222;0;0;0;0;0
hado;0;0;0;0;0.249162011;0;0;0;0;0;0;0;0;0;0;0;0.037777778;0;0.011061947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045610034;0.003432494;0;0.004158004;0;0;0;0;0;0;0.001166861;0;0;0;0.00326087;0;0;0;0
haku;0;0;0;0;0.222958057;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004371585;0;0;0;0;0;0.001072961;0;0;0;0;0;0;0;0.043329532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hiba;0;0;0;0;0;0;0.276094276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020746888;0;0;0;0;0;0;0;0;0;0;0;0;0.101511879;0;0;0;0;0.001092896;0;0;0;0;0;0.001118568;0;0;0;0.009055627;0
hirame;0;0;0;0;0.035902851;0;0.314438503;0;0;0;0;0.014590348;0;0.001071811;0;0;0;0;0;0;0;0.00931677;0;0;0;0;0.019354839;0;0;0;0;0;0;0;0.184665227;0;0.00295858;0;0.001075269;0;0;0;0.015005359;0;0;0;0.036247335;0;0;0;0;0
komatsu;0;0;0;0;0;0;0;0;0;0;0.003092784;0;0;0;0;0;0;0;0;0;0;0;0.022807018;0;0.182890855;0;0;0;0;0.00099108;0;0;0;0;0;0;0;0.017051153;0.002053388;0;0;0;0;0;0;0;0.046843177;0.002952756;0;0.009832842;0.00116144;0
kote;0.001102536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007454739;0;0;0.001053741;0;0;0.223849372;0.003278689;0;0;0;0;0;0;0.001109878;0;0;0;0.015045135;0;0;0;0;0;0;0.004484305;0.042553191;0;0;0;0.015166835;0;0;0
mekki;0;0;0;0;0;0.067235859;0;0;0;0.057562077;0;0;0;0.010078387;0;0.089569161;0.007675439;0;0;0.002242152;0.003370787;0;0;0.38245614;0;0;0.002247191;0;0;0.004324324;0.003271538;0.019406393;0;0;0;0.002150538;0;0;0;0.002141328;0.002176279;0.016853933;0;0;0;0;0;0;0;0.034297964;0;0
